label,tp,fp,fn,tn,precision,recall,f1,support,predicted,stage,stage_num,stage_label,model_type,level,policy
Les_Brown,71,1,0,70,0.9861111111111112,1.0,0.993006993006993,71,72,clean2_balanced,2,2 speakers,3-exit,clip,dynamic_policy
Simon_Sinek,70,0,1,71,1.0,0.9859154929577464,0.9929078014184396,71,70,clean2_balanced,2,2 speakers,3-exit,clip,dynamic_policy
Les_Brown,71,0,0,71,1.0,1.0,1.0,71,71,clean2_balanced,2,2 speakers,3-exit,clip,full_final
Simon_Sinek,71,0,0,71,1.0,1.0,1.0,71,71,clean2_balanced,2,2 speakers,3-exit,clip,full_final
Les_Brown,634,8,5,631,0.9875389408099688,0.9921752738654148,0.9898516783762684,639,642,clean2_balanced,2,2 speakers,3-exit,segment,final_exit
Simon_Sinek,631,5,8,634,0.9921383647798742,0.9874804381846636,0.9898039215686274,639,636,clean2_balanced,2,2 speakers,3-exit,segment,final_exit
Les_Brown,634,8,5,631,0.9875389408099688,0.9921752738654148,0.9898516783762684,639,642,clean2_balanced,2,2 speakers,3-exit,segment,selected_policy
Simon_Sinek,631,5,8,634,0.9921383647798742,0.9874804381846636,0.9898039215686274,639,636,clean2_balanced,2,2 speakers,3-exit,segment,selected_policy
Les_Brown,71,0,0,71,1.0,1.0,1.0,71,71,clean2_balanced,2,2 speakers,5-exit,clip,dynamic_policy
Simon_Sinek,71,0,0,71,1.0,1.0,1.0,71,71,clean2_balanced,2,2 speakers,5-exit,clip,dynamic_policy
Les_Brown,71,0,0,71,1.0,1.0,1.0,71,71,clean2_balanced,2,2 speakers,5-exit,clip,full_final
Simon_Sinek,71,0,0,71,1.0,1.0,1.0,71,71,clean2_balanced,2,2 speakers,5-exit,clip,full_final
Les_Brown,634,4,5,635,0.9937304075235108,0.9921752738654148,0.9929522317932656,639,638,clean2_balanced,2,2 speakers,5-exit,segment,final_exit
Simon_Sinek,635,5,4,634,0.9921875,0.9937402190923318,0.9929632525410478,639,640,clean2_balanced,2,2 speakers,5-exit,segment,final_exit
Les_Brown,631,5,8,634,0.9921383647798742,0.9874804381846636,0.9898039215686274,639,636,clean2_balanced,2,2 speakers,5-exit,segment,selected_policy
Simon_Sinek,634,8,5,631,0.9875389408099688,0.9921752738654148,0.9898516783762684,639,642,clean2_balanced,2,2 speakers,5-exit,segment,selected_policy
Les_Brown,71,1,0,141,0.9861111111111112,1.0,0.993006993006993,71,72,clean3_balanced,3,3 speakers,3-exit,clip,dynamic_policy
Simon_Sinek,70,1,1,141,0.9859154929577464,0.9859154929577464,0.9859154929577464,71,71,clean3_balanced,3,3 speakers,3-exit,clip,dynamic_policy
Rabin_Sharma,70,0,1,142,1.0,0.9859154929577464,0.9929078014184396,71,70,clean3_balanced,3,3 speakers,3-exit,clip,dynamic_policy
Les_Brown,71,0,0,142,1.0,1.0,1.0,71,71,clean3_balanced,3,3 speakers,3-exit,clip,full_final
Simon_Sinek,71,0,0,142,1.0,1.0,1.0,71,71,clean3_balanced,3,3 speakers,3-exit,clip,full_final
Rabin_Sharma,71,0,0,142,1.0,1.0,1.0,71,71,clean3_balanced,3,3 speakers,3-exit,clip,full_final
Les_Brown,635,11,4,1267,0.9829721362229102,0.9937402190923318,0.9883268482490272,639,646,clean3_balanced,3,3 speakers,3-exit,segment,final_exit
Simon_Sinek,616,10,23,1268,0.9840255591054312,0.9640062597809076,0.9739130434782608,639,626,clean3_balanced,3,3 speakers,3-exit,segment,final_exit
Rabin_Sharma,630,15,9,1263,0.9767441860465116,0.9859154929577464,0.9813084112149532,639,645,clean3_balanced,3,3 speakers,3-exit,segment,final_exit
Les_Brown,635,11,4,1267,0.9829721362229102,0.9937402190923318,0.9883268482490272,639,646,clean3_balanced,3,3 speakers,3-exit,segment,selected_policy
Simon_Sinek,616,10,23,1268,0.9840255591054312,0.9640062597809076,0.9739130434782608,639,626,clean3_balanced,3,3 speakers,3-exit,segment,selected_policy
Rabin_Sharma,630,15,9,1263,0.9767441860465116,0.9859154929577464,0.9813084112149532,639,645,clean3_balanced,3,3 speakers,3-exit,segment,selected_policy
Les_Brown,71,1,0,141,0.9861111111111112,1.0,0.993006993006993,71,72,clean3_balanced,3,3 speakers,5-exit,clip,dynamic_policy
Simon_Sinek,70,1,1,141,0.9859154929577464,0.9859154929577464,0.9859154929577464,71,71,clean3_balanced,3,3 speakers,5-exit,clip,dynamic_policy
Rabin_Sharma,70,0,1,142,1.0,0.9859154929577464,0.9929078014184396,71,70,clean3_balanced,3,3 speakers,5-exit,clip,dynamic_policy
Les_Brown,71,0,0,142,1.0,1.0,1.0,71,71,clean3_balanced,3,3 speakers,5-exit,clip,full_final
Simon_Sinek,71,0,0,142,1.0,1.0,1.0,71,71,clean3_balanced,3,3 speakers,5-exit,clip,full_final
Rabin_Sharma,71,0,0,142,1.0,1.0,1.0,71,71,clean3_balanced,3,3 speakers,5-exit,clip,full_final
Les_Brown,637,17,2,1261,0.9740061162079512,0.9968701095461658,0.9853054911059552,639,654,clean3_balanced,3,3 speakers,5-exit,segment,final_exit
Simon_Sinek,615,8,24,1270,0.9871589085072232,0.9624413145539906,0.9746434231378764,639,623,clean3_balanced,3,3 speakers,5-exit,segment,final_exit
Rabin_Sharma,629,11,10,1267,0.9828125,0.9843505477308294,0.983580922595778,639,640,clean3_balanced,3,3 speakers,5-exit,segment,final_exit
Les_Brown,638,17,1,1261,0.9740458015267176,0.9984350547730828,0.9860896445131376,639,655,clean3_balanced,3,3 speakers,5-exit,segment,selected_policy
Simon_Sinek,610,6,29,1272,0.9902597402597404,0.9546165884194052,0.9721115537848606,639,616,clean3_balanced,3,3 speakers,5-exit,segment,selected_policy
Rabin_Sharma,631,15,8,1263,0.976780185758514,0.9874804381846636,0.982101167315175,639,646,clean3_balanced,3,3 speakers,5-exit,segment,selected_policy
Les_Brown,71,1,0,212,0.9861111111111112,1.0,0.993006993006993,71,72,clean4_balanced,4,4 speakers,3-exit,clip,dynamic_policy
Simon_Sinek,70,1,1,212,0.9859154929577464,0.9859154929577464,0.9859154929577464,71,71,clean4_balanced,4,4 speakers,3-exit,clip,dynamic_policy
Rabin_Sharma,71,0,0,213,1.0,1.0,1.0,71,71,clean4_balanced,4,4 speakers,3-exit,clip,dynamic_policy
Oprah_Winfrey,70,0,1,213,1.0,0.9859154929577464,0.9929078014184396,71,70,clean4_balanced,4,4 speakers,3-exit,clip,dynamic_policy
Les_Brown,71,0,0,213,1.0,1.0,1.0,71,71,clean4_balanced,4,4 speakers,3-exit,clip,full_final
Simon_Sinek,71,1,0,212,0.9861111111111112,1.0,0.993006993006993,71,72,clean4_balanced,4,4 speakers,3-exit,clip,full_final
Rabin_Sharma,71,0,0,213,1.0,1.0,1.0,71,71,clean4_balanced,4,4 speakers,3-exit,clip,full_final
Oprah_Winfrey,70,0,1,213,1.0,0.9859154929577464,0.9929078014184396,71,70,clean4_balanced,4,4 speakers,3-exit,clip,full_final
Les_Brown,637,13,2,1904,0.98,0.9968701095461658,0.9883630721489528,639,650,clean4_balanced,4,4 speakers,3-exit,segment,final_exit
Simon_Sinek,621,16,18,1901,0.9748822605965464,0.971830985915493,0.9733542319749215,639,637,clean4_balanced,4,4 speakers,3-exit,segment,final_exit
Rabin_Sharma,636,16,3,1901,0.9754601226993864,0.9953051643192488,0.9852827265685516,639,652,clean4_balanced,4,4 speakers,3-exit,segment,final_exit
Oprah_Winfrey,614,3,25,1914,0.9951377633711508,0.9608763693270737,0.9777070063694268,639,617,clean4_balanced,4,4 speakers,3-exit,segment,final_exit
Les_Brown,637,13,2,1904,0.98,0.9968701095461658,0.9883630721489528,639,650,clean4_balanced,4,4 speakers,3-exit,segment,selected_policy
