model_type,label,precision,recall,f1,support,predicted,tp,fp,fn
3-exit,Les_Brown,1.0,0.9949494949494948,0.9974683544303796,594,591,591,0,3
3-exit,Mel_Robbins,0.9966159052453468,0.9915824915824916,0.9940928270042194,594,591,589,2,5
3-exit,Oprah_Winfrey,0.9831649831649832,0.9831649831649832,0.9831649831649832,594,594,584,10,10
3-exit,Rabin_Sharma,0.9626016260162602,0.9966329966329966,0.9793217535153018,594,615,592,23,2
3-exit,Simon_Sinek,0.9827288428324698,0.957912457912458,0.970161977834612,594,579,569,10,25
5-exit,Les_Brown,0.9898819561551432,0.9882154882154882,0.9890480202190396,594,593,587,6,7
5-exit,Mel_Robbins,0.9948805460750854,0.9814814814814816,0.9881355932203392,594,586,583,3,11
5-exit,Oprah_Winfrey,0.9927404718693283,0.9208754208754208,0.9554585152838428,594,551,547,4,47
5-exit,Rabin_Sharma,0.9895104895104896,0.9528619528619529,0.9708404802744424,594,572,566,6,28
5-exit,Simon_Sinek,0.8802395209580839,0.98989898989899,0.9318541996830428,594,668,588,80,6
